x1,x2,x3,x4,x5,x6,x7,x8
20,40,0,70,10,20,30,0
50,70,0,80,0,20,5,0
20,10,0,70,5,0,0,0
70,65,0,75,0,30,5,0
50,40,0,70,0,20,10,0
75,65,0,85,5,55,20,0
95,90,0,85,5,80,0,0
75,70,0,65,0,60,5,0
75,65,0,70,5,40,20,0
75,70,0,65,0,60,5,0
5,10,20,75,60,30,40,5
5,10,0,90,60,70,85,0
5,10,0,90,75,20,60,0
0,0,0,70,100,0,20,0
5,20,15,40,30,0,5,10
75,70,0,60,0,65,0,0
75,0,0,60,20,0,0,0
90,70,0,100,0,60,0,0
90,20,0,100,0,40,0,0
90,75,0,100,0,20,5,0
