0.55,0.55,0.0,0.75,0.05,0.4,0.175,0.0,1
0.7,0.7,0.0,0.8,0.0,0.4,0.05,0.0,0
0.55,0.4,0.0,0.75,0.025,0.3,0.025,0.0,1
0.8,0.675,0.0,0.775,0.0,0.45,0.05,0.0,0
0.7,0.55,0.0,0.75,0.0,0.4,0.075,0.0,1
0.825,0.675,0.0,0.825,0.025,0.575,0.125,0.0,1
0.925,0.8,0.0,0.825,0.025,0.7,0.025,0.0,1
0.825,0.7,0.0,0.725,0.0,0.6,0.05,0.0,1
0.825,0.675,0.0,0.75,0.025,0.5,0.125,0.0,1
0.825,0.7,0.0,0.725,0.0,0.6,0.05,0.0,1
0.475,0.4,0.1,0.775,0.3,0.45,0.225,0.025,0
0.475,0.4,0.0,0.85,0.3,0.65,0.45,0.0,1
0.475,0.4,0.0,0.85,0.375,0.4,0.325,0.0,1
0.45,0.35,0.0,0.75,0.5,0.3,0.125,0.0,0
0.475,0.45,0.075,0.6,0.15,0.3,0.05,0.05,0
0.825,0.7,0.0,0.7,0.0,0.625,0.025,0.0,1
0.825,0.35,0.0,0.7,0.1,0.3,0.025,0.0,1
0.9,0.7,0.0,0.9,0.0,0.6,0.025,0.0,1
0.9,0.45,0.0,0.9,0.0,0.5,0.025,0.0,1
0.9,0.725,0.0,0.9,0.0,0.4,0.05,0.0,1
0.4,0.35,0.0,0.75,0.05,0.2,0.35,0.0,0
0.55,0.5,0.0,0.8,0.0,0.2,0.225,0.0,0
0.4,0.2,0.0,0.75,0.025,0.1,0.2,0.0,1
0.65,0.475,0.0,0.775,0.0,0.25,0.225,0.0,0
0.55,0.35,0.0,0.75,0.0,0.2,0.25,0.0,0
0.675,0.475,0.0,0.825,0.025,0.375,0.3,0.0,1
0.775,0.6,0.0,0.825,0.025,0.5,0.2,0.0,0
0.675,0.5,0.0,0.725,0.0,0.4,0.225,0.0,1
0.675,0.475,0.0,0.75,0.025,0.3,0.3,0.0,1
0.675,0.5,0.0,0.725,0.0,0.4,0.225,0.0,1
0.325,0.2,0.1,0.775,0.3,0.25,0.4,0.025,0
0.325,0.2,0.0,0.85,0.3,0.45,0.625,0.0,1
0.325,0.2,0.0,0.85,0.375,0.2,0.5,0.0,1
0.3,0.15,0.0,0.75,0.5,0.1,0.3,0.0,0
0.325,0.25,0.075,0.6,0.15,0.1,0.225,0.05,0
0.675,0.5,0.0,0.7,0.0,0.425,0.2,0.0,1
0.675,0.15,0.0,0.7,0.1,0.1,0.2,0.0,1
0.75,0.5,0.0,0.9,0.0,0.4,0.2,0.0,1
0.75,0.25,0.0,0.9,0.0,0.3,0.2,0.0,1
0.75,0.525,0.0,0.9,0.0,0.2,0.225,0.0,1
0.25,0.3,0.0,0.75,0.05,0.3,0.5,0.0,0
0.4,0.45,0.0,0.8,0.0,0.3,0.375,0.0,0
0.25,0.15,0.0,0.75,0.025,0.2,0.35,0.0,0
