x1,x2,x3,x4,x5,x6,x7,x8
50,40,20,60,10,30,15,5
50,70,10,60,20,0,5,0
20,10,0,40,5,0,0,0
75,70,5,65,0,45,5,0
70,50,0,60,0,20,5,0
75,70,0,65,0,60,20,0
95,90,0,80,0,75,5,0
75,85,0,60,0,80,0,0
90,75,0,80,0,40,5,0
100,90,0,80,0,75,0,0
5,10,40,20,60,30,25,15
0,0,20,10,70,90,80,5
5,10,20,25,70,40,60,15
0,0,0,20,100,0,30,0
5,20,40,30,15,0,0,25
75,70,0,50,0,60,0,0
75,20,0,50,40,30,0,0
90,75,0,85,0,60,5,0
95,20,0,80,0,60,0,0
95,80,0,90,0,40,0,0
