x1,x2,x3,x4
-90.0,-60.0,-10.0,-80.0
-20.0,-10.0,60.0,-50.0
-50.0,-30.0,-20.0,-60.0
0.0,0.0,0.0,0.0
-20.0,10.0,60.0,-30.0
-20.0,10.0,5.0,-30.0
-50.0,-20.0,-60.0,-70.0
-50.0,-20.0,-60.0,-70.0
-20.0,0.0,60.0,-70.0
-10.0,-20.0,30.0,-50.0
-90.0,-60.0,-100.0,-80.0
-90.0,-10.0,-5.0,-95.0
-80.0,-20.0,-90.0,-95.0
-10.0,60.0,90.0,-20.0
-90.0,-20.0,-100.0,-80.0
-80.0,-20.0,10.0,-90.0
-5.0,15.0,60.0,80.0
-90.0,-10.0,-80.0,-95.0
-80.0,-20.0,-5.0,90.0
-70.0,-20.0,-50.0,-80.0
