85.0,0.0,0.0,0.0,15.0,20.0
30.0,0.0,0.0,0.0,70.0,20.0
20.0,0.0,0.0,0.0,80.0,30.0
20.0,0.0,0.0,0.0,30.0,40.0
0.0,20.0,0.0,0.0,80.0,10.0
30.0,20.0,0.0,0.0,5.0,10.0
20.0,0.0,0.0,0.0,0.0,10.0
80.0,0.0,0.0,0.0,20.0,10.0
20.0,0.0,0.0,0.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0,5.0,80.0
90.0,0.0,0.0,0.0,0.0,10.0
80.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,100.0,20.0
90.0,0.0,0.0,0.0,0.0,20.0
90.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,80.0,0.0,20.0,30.0
90.0,0.0,0.0,0.0,0.0,60.0
80.0,0.0,0.0,0.0,20.0,10.0
80.0,0.0,0.0,0.0,20.0,30.0
