-90,-60,-10,-80
-90,-20,-95,-80
-20,-10,60,-50
-50,-30,-20,-60
-90,-60,-100,-80
-90,-20,-100,-80
-20,-10,60,-70
0,0,0,0
-5,-10,-15,-20
-20,0,30,-50
-20,10,60,-30
-20,10,5,-30
-50,-20,-60,-70
-50,-20,-60,-70
-70,-20,-80,-90
-20,-10,-30,50
-20,0,60,-70
-5,-10,15,-20
-10,-20,30,-50
-90,-60,-100,-80
-90,-20,-5,-80
-90,-10,-5,-95
-95,-10,-5,-90
-70,-20,-90,-80
-80,-20,-90,-95
-10,60,90,-20
-90,-20,-100,-80
-20,30,40,-10
-90,-20,-100,-80

-80,-20,10,-90
-70,-20,-80,-90
-5,15,60,80
-90,-20,-95,-80
-90,-20,-5,-95
-90,-20,-100,-80
-90,-10,-80,-95
-50,30,-10,-60
-80,-20,-5,90
-70,-20,-50,-80
-90,-20,-5,-95
-70,-20,-80,90
-90,-10,-95,-80
